index ;typed ident;       identifier        ;typ;       coord1 (ICRS,J2000/2000)        ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
151;DR VEL     ;V* DR Vel                ;cC*;09 31 40.9750564992 -49 39 18.019202295;     ~;10.50 ; 9.25 ;     ~;     ~;~              ;  67;   0
152;DR CEP     ;V* DR Cep                ;cC*;20 49 05.5865373175 +58 53 57.165338755;     ~;     ~;     ~;     ~;     ~;F5p            ;  28;   0
153;DP VEL     ;V* DP Vel                ;cC*;09 30 15.8413167608 -53 03 31.283012612;     ~;12.54 ;12.19 ;     ~;     ~;~              ;  31;   0
154;DP MON     ;V* DP Mon                ;cC*;06 25 43.8727038459 +06 39 18.554452350;     ~;     ~;     ~;     ~;     ~;~              ;   7;   0
155;DN ARA     ;V* DN Ara                ;LP*;17 20 26.3261906273 -62 46 21.393844728;     ~;13.40 ;     ~;     ~;     ~;~              ;   6;   0
156;DL CAS     ;V* DL Cas                ;cC*;00 29 58.5886100054 +60 12 43.069687745;10.66 ; 9.88 ; 8.63 ;     ~; 7.582;G1Ib-IIHdel-1  ; 294;   0
157;EK MON     ;V* EK Mon                ;cC*;06 52 46.1708000904 -02 27 29.629893719;     ~;11.87 ;11.29 ;     ~;     ~;~              ;  58;   0
158;EK DEL     ;V* EK Del                ;Ce*;20 54 04.8696120336 +08 33 05.604845698;     ~;12.60 ;     ~;     ~;     ~;~              ;  27;   0
159;EF TAU     ;V* EF Tau                ;cC*;05 43 31.7956792214 +19 25 12.047372993;     ~;     ~;     ~;     ~;     ~;~              ;  29;   0
160;EE MON     ;V* EE Mon                ;cC*;06 50 48.6826876756 -07 58 50.632391554;     ~;14.03 ;     ~;     ~;     ~;~              ;  37;   0
161;DZ CMA     ;V* DZ CMa                ;cC*;07 16 59.3295830214 -15 18 25.436502497;     ~;     ~;     ~;11.61 ;10.71 ;G0             ;  16;   0
162;DY CAR     ;V* DY Car                ;cC*;10 52 32.8162697279 -60 31 36.360810188;     ~;12.76 ;11.38 ;     ~;     ~;~              ;  37;   0
163;DX GEM     ;V* DX Gem                ;cC*;06 33 54.6101670962 +14 28 17.011049441;     ~;11.24 ;10.73 ;     ~;     ~;~              ;  84;   0
164;DW PER     ;V* DW Per                ;cC*;02 33 52.5669699788 +57 01 38.992613531;     ~;12.84 ;11.61 ;     ~;     ~;F6Ib           ;  36;   0
165;DW CAS     ;V* DW Cas                ;cC*;23 38 48.3949879348 +59 23 30.581003592;     ~;12.45 ;11.08 ;     ~;     ~;F7             ;  34;   0
